Variável,Valor
x#1#1#24#4#4,0.0
x#1#1#24#4#3,0.0
x#1#1#24#4#2,0.0
x#1#1#24#4#1,0.0
x#1#1#24#3#4,0.0
x#1#1#24#3#3,0.0
x#1#1#24#3#2,0.0
x#1#1#24#3#1,0.0
x#1#1#24#5#3,0.0
x#1#1#24#5#4,0.0
x2#3#1#24#1#1,0.0
x2#3#1#24#1#2,0.0
x2#3#1#24#1#3,0.0
x2#3#1#24#1#4,0.0
Q#1#1#24,0.0
I#1#1#24,0.0
yd#1#1#2#25,0.0
x#1#1#25#3#2,0.0
x#1#1#25#3#3,0.0
x#1#1#25#3#4,0.0
x#1#1#25#4#1,0.0
x#1#1#25#4#2,0.0
x#1#1#25#4#3,0.0
x#1#1#25#4#4,0.0
x#1#1#25#5#1,0.0
x#1#1#25#5#2,0.0
x#1#1#25#5#3,0.0
x#1#1#25#5#4,0.0
x#1#1#25#3#1,0.0
x2#3#1#25#1#1,0.0
x2#3#1#25#1#2,0.0
x2#3#1#25#1#3,0.0
x2#3#1#25#1#4,0.0
Q#1#1#25,0.0
I#1#1#25,0.0
yd#1#1#2#26,0.0
x#1#1#26#5#4,0.0
x#1#1#26#5#3,0.0
x#1#1#26#5#2,0.0
x#1#1#26#5#1,0.0
x#1#1#26#4#4,0.0
x#1#1#26#4#3,0.0
x#1#1#26#4#2,0.0
x#1#1#26#4#1,0.0
x#1#1#26#3#4,0.0
x#1#1#26#3#3,0.0
x#1#1#26#3#2,0.0
x#1#1#26#3#1,0.0
x2#3#1#26#1#1,0.0
x2#3#1#26#1#2,0.0
x2#3#1#26#1#3,0.0
x2#3#1#26#1#4,0.0
Q#1#1#26,0.0
I#1#1#26,0.0
yd#1#1#2#27,0.0
x#1#1#27#5#4,0.0
x#1#1#27#5#3,0.0
x#1#1#27#5#2,0.0
x#1#1#27#5#1,0.0
x#1#1#27#4#4,0.0
x#1#1#27#4#3,0.0
x#1#1#27#4#2,0.0
x#1#1#27#4#1,0.0
x#1#1#27#3#4,0.0
x#1#1#27#3#3,0.0
x#1#1#27#3#2,0.0
x#1#1#27#3#1,0.0
x2#3#1#27#1#1,0.0
x2#3#1#27#1#2,0.0
x2#3#1#27#1#3,0.0
x2#3#1#27#1#4,0.0
Q#1#1#27,0.0
I#1#1#27,0.0
yd#1#1#2#28,0.0
x#1#1#28#5#4,0.0
x#1#1#28#5#3,0.0
x#1#1#28#5#2,0.0
x#1#1#28#5#1,0.0
x#1#1#28#4#4,0.0
x#1#1#28#4#3,0.0
x#1#1#28#4#2,0.0
x#1#1#28#4#1,0.0
x#1#1#28#3#4,0.0
x#1#1#28#3#3,0.0
x#1#1#28#3#2,0.0
x#1#1#28#3#1,0.0
x2#3#1#28#1#1,0.0
x2#3#1#28#1#2,0.0
x2#3#1#28#1#3,0.0
x2#3#1#28#1#4,0.0
Q#1#1#28,0.0
I#1#1#28,0.0
yd#1#1#2#29,0.0
x#1#1#29#3#1,0.0
x#1#1#29#3#2,0.0
x#1#1#29#3#3,0.0
x#1#1#29#3#4,0.0
x#1#1#29#4#1,0.0
x#1#1#29#4#2,0.0
x#1#1#29#4#3,0.0
x#1#1#29#4#4,0.0
x#1#1#29#5#1,0.0
x#1#1#29#5#2,0.0
x#1#1#29#5#3,0.0
x#1#1#29#5#4,0.0
x2#3#1#29#1#1,0.0
x2#3#1#29#1#2,0.0
x2#3#1#29#1#3,0.0
x2#3#1#29#1#4,0.0
Q#1#1#29,0.0
I#1#1#29,0.0
yd#1#1#2#30,0.0
x#1#1#30#3#1,0.0
x#1#1#30#3#2,0.0
x#1#1#30#3#3,0.0
x#1#1#30#3#4,0.0
x#1#1#30#4#1,0.0
x#1#1#30#4#2,0.0
x#1#1#30#4#3,0.0
x#1#1#30#4#4,0.0
x#1#1#30#5#1,0.0
x#1#1#30#5#2,0.0
x#1#1#30#5#3,0.0
x#1#1#30#5#4,0.0
x2#3#1#30#1#1,0.0
x2#3#1#30#1#2,0.0
